scanner,noise_mean,noise_std,noise_skew,noise_kurt,noise_energy,fft_0,fft_1,fft_2,fft_3,fft_4,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,lbp_10,lbp_11,lbp_12,lbp_13,lbp_14,lbp_15,lbp_16,lbp_17,lbp_18,lbp_19,lbp_20,lbp_21,lbp_22,lbp_23,lbp_24,lbp_25,lbp_26,lbp_27,lbp_28,lbp_29,lbp_30,lbp_31,lbp_32,lbp_33,lbp_34,lbp_35,lbp_36,lbp_37,lbp_38,lbp_39,lbp_40,lbp_41,lbp_42,lbp_43,lbp_44,lbp_45,lbp_46,lbp_47,lbp_48,lbp_49,lbp_50,lbp_51,lbp_52,lbp_53
EpsonV39-2,0.59892106,0.0627943,-2.0358255,10.012622,0.36264962,24.596739,25.334415,28.534235,25.478428,11.7824955,0.043544769287109375,0.06221771240234375,0.011028289794921875,0.0230865478515625,0.049755096435546875,0.12420272827148438,0.0259246826171875,0.09180450439453125,0.45949554443359375,0.10894012451171875,0.04216766357421875,0.041011810302734375,0.008327484130859375,0.00250244140625,0.000812530517578125,0.0009613037109375,0.000942230224609375,0.00274658203125,0.003192901611328125,0.0124664306640625,0.00453948974609375,0.017528533935546875,0.014957427978515625,0.04892730712890625,0.060680389404296875,0.055767059326171875,0.31481170654296875,0.3676567077636719,0.032070159912109375,0.030040740966796875,0.00762176513671875,0.0017852783203125,0.000499725341796875,0.000225067138671875,0.0001068115234375,0.000110626220703125,0.000141143798828125,0.00020599365234375,0.000141143798828125,0.00028228759765625,0.00025177001953125,0.0055999755859375,0.00061798095703125,0.005550384521484375,0.001094818115234375,0.006256103515625,0.003021240234375,0.009044647216796875,0.02028656005859375,0.039249420166015625,0.07438278198242188,0.03807830810546875,0.2063140869140625,0.5170211791992188
EpsonV39-2,0.59242624,0.06143896,-2.0802722,11.685799,0.35474366,26.251316,28.233463,26.237654,22.903141,10.207782,0.0360107421875,0.05129241943359375,0.0093231201171875,0.01334381103515625,0.042598724365234375,0.09070968627929688,0.02393341064453125,0.06679534912109375,0.5900459289550781,0.07594680786132812,0.03540802001953125,0.036334991455078125,0.007114410400390625,0.00193023681640625,0.0005950927734375,0.00072479248046875,0.0009918212890625,0.003124237060546875,0.00391387939453125,0.014141082763671875,0.002101898193359375,0.01000213623046875,0.008396148681640625,0.04473876953125,0.0643310546875,0.04918670654296875,0.468414306640625,0.2485504150390625,0.0307769775390625,0.0262298583984375,0.005817413330078125,0.00150299072265625,0.000278472900390625,0.0001678466796875,0.0001220703125,0.000125885009765625,0.0001373291015625,0.0002899169921875,0.0001678466796875,0.0003204345703125,0.00028228759765625,0.005889892578125,0.00031280517578125,0.005466461181640625,0.0003814697265625,0.005306243896484375,0.000980377197265625,0.002960205078125,0.012714385986328125,0.041614532470703125,0.10104751586914062,0.04364013671875,0.35825347900390625,0.3552131652832031
EpsonV39-2,0.57576984,0.06591852,-2.107793,10.720074,0.33585614,26.587637,27.604935,28.579678,26.738384,12.085565,0.039905548095703125,0.05583953857421875,0.010715484619140625,0.015216827392578125,0.045192718505859375,0.09635543823242188,0.022449493408203125,0.07074356079101562,0.5576362609863281,0.08594512939453125,0.0384979248046875,0.037738800048828125,0.00794219970703125,0.00240325927734375,0.0007476806640625,0.000606536865234375,0.000644683837890625,0.00185394287109375,0.002727508544921875,0.010761260986328125,0.0023651123046875,0.0140380859375,0.0121917724609375,0.042316436767578125,0.052402496337890625,0.0471649169921875,0.4455909729003906,0.28000640869140625,0.031383514404296875,0.027454376220703125,0.006420135498046875,0.00164031982421875,0.00032806396484375,0.00014495849609375,5.7220458984375e-05,0.000118255615234375,7.2479248046875e-05,0.000110626220703125,0.000102996826171875,0.00023651123046875,0.0001983642578125,0.00603485107421875,0.00038909912109375,0.00586700439453125,0.00061798095703125,0.006015777587890625,0.001804351806640625,0.0069580078125,0.0207061767578125,0.04178619384765625,0.08259201049804688,0.036052703857421875,0.3346405029296875,0.38826751708984375
EpsonV39-2,0.56372213,0.06779417,-2.0448487,10.232236,0.32237884,27.580961,28.365086,30.60474,27.032284,12.620525,0.0446014404296875,0.061717987060546875,0.01270294189453125,0.02022552490234375,0.053131103515625,0.09860992431640625,0.02483367919921875,0.07020187377929688,0.5157089233398438,0.0982666015625,0.043552398681640625,0.041828155517578125,0.0092620849609375,0.00296783447265625,0.000850677490234375,0.000957489013671875,0.00091552734375,0.002349853515625,0.00382232666015625,0.0131378173828125,0.00287628173828125,0.014312744140625,0.011234283447265625,0.037166595458984375,0.04750823974609375,0.04845428466796875,0.4154167175292969,0.3033866882324219,0.032817840576171875,0.029979705810546875,0.007472991943359375,0.002147674560546875,0.00051116943359375,0.000263214111328125,0.000102996826171875,0.000194549560546875,0.00012969970703125,0.00018310546875,0.00018310546875,0.0002899169921875,0.000331878662109375,0.006633758544921875,0.000499725341796875,0.006778717041015625,0.000698089599609375,0.007221221923828125,0.001979827880859375,0.007053375244140625,0.0194854736328125,0.039730072021484375,0.0750732421875,0.038745880126953125,0.3064613342285156,0.41503143310546875
EpsonV39-2,0.5567226,0.06596061,-1.6385651,7.9159803,0.3142909,28.568832,30.798008,28.784706,25.942493,12.871054,0.0516815185546875,0.0695953369140625,0.01534271240234375,0.02210235595703125,0.0489654541015625,0.0936431884765625,0.029399871826171875,0.07796859741210938,0.4776611328125,0.11363983154296875,0.050952911376953125,0.046966552734375,0.010616302490234375,0.003421783447265625,0.00140380859375,0.00125885009765625,0.00119781494140625,0.00278472900390625,0.00336456298828125,0.012943267822265625,0.002605438232421875,0.012725830078125,0.00952911376953125,0.034336090087890625,0.04715728759765625,0.051116943359375,0.38568115234375,0.32193756103515625,0.04107666015625,0.035175323486328125,0.007793426513671875,0.00232696533203125,0.000762939453125,0.000621795654296875,0.00023651123046875,0.000324249267578125,0.000225067138671875,0.00023651123046875,0.000141143798828125,0.000301361083984375,0.000186920166015625,0.0064544677734375,0.000370025634765625,0.0065460205078125,0.0006256103515625,0.00658416748046875,0.001316070556640625,0.006626129150390625,0.014247894287109375,0.03362274169921875,0.06929779052734375,0.040050506591796875,0.2952842712402344,0.4295654296875
EpsonV39-2,0.5612216,0.059633072,-1.897664,12.914446,0.3185258,27.518099,28.940355,26.604366,21.901329,10.071373,0.043399810791015625,0.065643310546875,0.012653350830078125,0.022472381591796875,0.046604156494140625,0.09335708618164062,0.032077789306640625,0.0895538330078125,0.4877815246582031,0.10645675659179688,0.04703521728515625,0.046596527099609375,0.009021759033203125,0.003284454345703125,0.001461029052734375,0.001804351806640625,0.00164031982421875,0.00399017333984375,0.005657196044921875,0.016506195068359375,0.00255584716796875,0.010265350341796875,0.00844573974609375,0.043972015380859375,0.07033157348632812,0.062458038330078125,0.3510169982910156,0.31395721435546875,0.037555694580078125,0.03578948974609375,0.00769805908203125,0.0023193359375,0.00075531005859375,0.000762939453125,0.000453948974609375,0.00055694580078125,0.00040435791015625,0.000728607177734375,0.000301361083984375,0.00049591064453125,0.00057220458984375,0.006366729736328125,0.000339508056640625,0.005462646484375,0.00037384033203125,0.00482177734375,0.00093841552734375,0.0028839111328125,0.01000213623046875,0.035610198974609375,0.09195709228515625,0.054698944091796875,0.247100830078125,0.4510498046875
EpsonV39-2,0.5965751,0.060775783,-1.9903315,12.291208,0.3595955,25.108908,27.945608,25.818602,22.431578,9.969785,0.035678863525390625,0.05451202392578125,0.00981903076171875,0.0137481689453125,0.038936614990234375,0.07600784301757812,0.020137786865234375,0.057788848876953125,0.61334228515625,0.08002853393554688,0.0360870361328125,0.040233612060546875,0.0071258544921875,0.0020294189453125,0.000789642333984375,0.00093841552734375,0.001003265380859375,0.0032196044921875,0.00421905517578125,0.018779754638671875,0.0018768310546875,0.008556365966796875,0.001857757568359375,0.026531219482421875,0.045764923095703125,0.05129241943359375,0.5291557312011719,0.22053909301757812,0.033840179443359375,0.028575897216796875,0.005626678466796875,0.001667022705078125,0.0004425048828125,0.000347137451171875,0.00020599365234375,0.000335693359375,0.000156402587890625,0.000423431396484375,0.0001373291015625,0.000431060791015625,0.0003509521484375,0.006961822509765625,0.000225067138671875,0.00643157958984375,0.00018310546875,0.005939483642578125,0.000263214111328125,0.00203704833984375,0.004383087158203125,0.02315521240234375,0.07082748413085938,0.06520462036132812,0.439300537109375,0.3025474548339844
EpsonV39-2,0.58478224,0.06033351,-2.123454,13.68577,0.34561035,25.112692,27.96232,28.037603,22.300253,10.675751,0.042621612548828125,0.05872344970703125,0.012584686279296875,0.019351959228515625,0.047107696533203125,0.091552734375,0.025775909423828125,0.06649017333984375,0.5377082824707031,0.09808349609375,0.04419708251953125,0.041412353515625,0.008724212646484375,0.002593994140625,0.001220703125,0.001163482666015625,0.00157928466796875,0.003894805908203125,0.00446319580078125,0.0198822021484375,0.002300262451171875,0.009246826171875,0.00579833984375,0.0331878662109375,0.052646636962890625,0.052677154541015625,0.4412574768066406,0.2737541198730469,0.0337066650390625,0.03125,0.007137298583984375,0.00215911865234375,0.000629425048828125,0.000461578369140625,0.000240325927734375,0.0002899169921875,0.000274658203125,0.000385284423828125,0.000156402587890625,0.000438690185546875,0.000331878662109375,0.006183624267578125,0.000377655029296875,0.005931854248046875,0.00037384033203125,0.005702972412109375,0.000766754150390625,0.0035247802734375,0.0078582763671875,0.0303192138671875,0.08226776123046875,0.050525665283203125,0.3474884033203125,0.38121795654296875
EpsonV39-2,0.583995,0.053932223,-2.4180856,16.327463,0.34395882,24.241327,25.209848,23.07146,19.830622,9.098158,0.0316009521484375,0.042736053466796875,0.007572174072265625,0.0186767578125,0.037425994873046875,0.1070556640625,0.01947784423828125,0.0819549560546875,0.5734634399414062,0.08003616333007812,0.032749176025390625,0.029392242431640625,0.005252838134765625,0.001674652099609375,0.000812530517578125,0.000885009765625,0.001018524169921875,0.0030059814453125,0.004150390625,0.0141754150390625,0.00386810302734375,0.01656341552734375,0.01631927490234375,0.054656982421875,0.06380462646484375,0.049884796142578125,0.4197654724121094,0.28202056884765625,0.02542877197265625,0.022258758544921875,0.004535675048828125,0.001331329345703125,0.00035858154296875,0.00034332275390625,0.00022125244140625,0.000186920166015625,0.000217437744140625,0.000244140625,0.0002288818359375,0.000392913818359375,0.000244140625,0.005828857421875,0.000469207763671875,0.005580902099609375,0.00083160400390625,0.006244659423828125,0.002849578857421875,0.006221771240234375,0.024272918701171875,0.048313140869140625,0.09372329711914062,0.03878021240234375,0.2994384765625,0.4114532470703125
EpsonV39-2,0.5730919,0.067626856,-1.8410841,9.48053,0.33300778,25.472784,30.401264,29.265688,24.357279,10.459339,0.04076385498046875,0.06342697143554688,0.010463714599609375,0.01746368408203125,0.047149658203125,0.0917205810546875,0.026927947998046875,0.0703125,0.5371437072753906,0.09462738037109375,0.043621063232421875,0.044574737548828125,0.007427215576171875,0.0023193359375,0.000946044921875,0.00136566162109375,0.00148773193359375,0.004024505615234375,0.005344390869140625,0.019641876220703125,0.00229644775390625,0.008983612060546875,0.005397796630859375,0.034332275390625,0.059474945068359375,0.05759429931640625,0.4309272766113281,0.27024078369140625,0.035320281982421875,0.03464508056640625,0.00659942626953125,0.002071380615234375,0.00054168701171875,0.000362396240234375,0.000244140625,0.00049591064453125,0.00029754638671875,0.000568389892578125,0.000293731689453125,0.00048828125,0.000446319580078125,0.006954193115234375,0.00020599365234375,0.00638580322265625,0.000202178955078125,0.005950927734375,0.00049591064453125,0.002437591552734375,0.00699615478515625,0.03232574462890625,0.0869140625,0.058025360107421875,0.33193206787109375,0.3787994384765625
